pinging DAFFE 3
PING 54.74.144.100 (54.74.144.100) 56(84) bytes of data.
64 bytes from 54.177.53.81: icmp_seq=24 ttl=45 time=157 ms
64 bytes from 54.177.53.81: icmp_seq=25 ttl=45 time=158 ms
64 bytes from 54.177.53.81: icmp_seq=26 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=27 ttl=45 time=162 ms
64 bytes from 54.177.53.81: icmp_seq=28 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=29 ttl=45 time=162 ms
64 bytes from 54.177.53.81: icmp_seq=30 ttl=45 time=159 ms
64 bytes from 54.177.53.81: icmp_seq=31 ttl=45 time=155 ms
64 bytes from 54.177.53.81: icmp_seq=32 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=33 ttl=45 time=156 ms
64 bytes from 54.177.53.81: icmp_seq=34 ttl=45 time=156 ms
64 bytes from 54.177.53.81: icmp_seq=35 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=36 ttl=45 time=176 ms
64 bytes from 54.177.53.81: icmp_seq=37 ttl=45 time=154 ms
64 bytes from 54.177.53.81: icmp_seq=38 ttl=45 time=154 ms
64 bytes from 54.177.53.81: icmp_seq=39 ttl=45 time=155 ms
64 bytes from 54.177.53.81: icmp_seq=40 ttl=45 time=156 ms
64 bytes from 54.177.53.81: icmp_seq=41 ttl=45 time=159 ms
64 bytes from 54.177.53.81: icmp_seq=42 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=43 ttl=45 time=156 ms
64 bytes from 54.177.53.81: icmp_seq=44 ttl=45 time=162 ms
64 bytes from 54.177.53.81: icmp_seq=45 ttl=45 time=156 ms
64 bytes from 54.177.53.81: icmp_seq=46 ttl=45 time=155 ms
64 bytes from 54.177.53.81: icmp_seq=47 ttl=45 time=154 ms
64 bytes from 54.177.53.81: icmp_seq=48 ttl=45 time=154 ms
64 bytes from 54.177.53.81: icmp_seq=49 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=50 ttl=45 time=154 ms
64 bytes from 54.177.53.81: icmp_seq=51 ttl=45 time=158 ms
64 bytes from 54.177.53.81: icmp_seq=52 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=53 ttl=45 time=159 ms
64 bytes from 54.177.53.81: icmp_seq=54 ttl=45 time=154 ms
64 bytes from 54.177.53.81: icmp_seq=55 ttl=45 time=163 ms
64 bytes from 54.177.53.81: icmp_seq=56 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=57 ttl=45 time=153 ms
64 bytes from 54.177.53.81: icmp_seq=58 ttl=45 time=156 ms
64 bytes from 54.177.53.81: icmp_seq=59 ttl=45 time=155 ms
